video_id,title,views,likes,comments,watch_time_minutes,publish_day,category,subscribers_gained
1,How to Learn Python,120000,5200,430,45000,Monday,Education,320
2,IPL Highlights 2023,98000,4100,380,39000,Sunday,Sports,280
3,Top Data Analyst Skills,86000,3700,310,34000,Wednesday,Education,250
4,Day in My Life Vlog,54000,2100,190,23000,Friday,Lifestyle,140
5,Power BI Tutorial,76000,3300,260,32000,Tuesday,Education,220
6,Funny Shorts Compilation,150000,8200,620,52000,Saturday,Entertainment,450
7,SQL Interview Questions,89000,3900,330,36000,Thursday,Education,260
8,Travel Vlog Goa,63000,2600,210,27000,Sunday,Lifestyle,160
9,AI Explained Simply,92000,4100,350,38000,Monday,Education,290
10,Gaming Highlights,72000,3100,240,30000,Saturday,Gaming,190
11,Machine Learning Basics,88000,4000,340,37000,Tuesday,Education,270
12,Daily Productivity Tips,51000,2000,180,21000,Wednesday,Lifestyle,130
13,Cricket Analysis शो,97000,4300,370,40000,Sunday,Sports,300
14,Best Coding Practices,82000,3600,300,33000,Friday,Education,240
15,YouTube Growth Tips,69000,2900,230,28000,Thursday,Education,210
16,Motivational Speech,56000,2200,200,24000,Monday,Motivation,150
17,Top 10 Tech Gadgets,74000,3200,270,31000,Saturday,Technology,200
18,Standup Comedy Clip,132000,6100,520,48000,Sunday,Entertainment,410
19,Learn Pandas in 1 Hour,91000,4200,360,39000,Tuesday,Education,290
20,Travel Budget Guide,58000,2500,220,26000,Friday,Lifestyle,170
21,Beginner Java Tutorial,83000,3500,300,34000,Monday,Education,240
22,Football Match Highlights,102000,4600,410,42000,Sunday,Sports,310
23,Daily Fitness Routine,60000,2700,230,28000,Wednesday,Lifestyle,180
24,Comedy Roast Special,140000,7200,590,50000,Saturday,Entertainment,430
25,React JS Crash Course,87000,3800,330,36000,Tuesday,Education,260
26,Stock Market Basics,76000,3400,290,33000,Thursday,Finance,230
27,Best Smartphones 2023,92000,4000,350,38000,Friday,Technology,270
28,Study With Me,49000,2100,180,22000,Monday,Lifestyle,140
29,Top Coding Interview Tips,88000,3900,340,37000,Wednesday,Education,260
30,Travel Vlog Manali,67000,2900,250,29000,Sunday,Lifestyle,190
31,Python Projects for Beginners,95000,4300,370,40000,Tuesday,Education,300
32,Funny Meme Compilation,160000,9000,710,56000,Saturday,Entertainment,480
33,Healthy Morning Routine,57000,2400,210,26000,Monday,Lifestyle,160
34,Best AI Tools 2023,89000,4100,360,38000,Friday,Technology,280
35,Cricket Match Review,99000,4400,390,41000,Sunday,Sports,320
36,Learn SQL Fast,84000,3600,310,35000,Thursday,Education,250
37,Minimalist Lifestyle Tips,53000,2300,200,24000,Wednesday,Lifestyle,150
38,Top Travel Destinations,71000,3000,260,31000,Saturday,Lifestyle,200
39,How YouTube Algorithm Works,90000,4200,350,39000,Tuesday,Education,290
40,Best Budget Laptops,78000,3400,300,33000,Friday,Technology,240
41,Public Speaking Tips,62000,2600,230,28000,Monday,Motivation,180
42,Web Development Roadmap,88000,3900,340,37000,Thursday,Education,270
43,Comedy Skit Episode 5,135000,6400,540,49000,Saturday,Entertainment,420
44,Personal Finance Tips,72000,3100,260,30000,Wednesday,Finance,210
45,Beginner Photoshop Tutorial,68000,2900,240,28000,Tuesday,Education,200
46,Daily Coding Practice,85000,3700,320,36000,Friday,Education,260
47,Best Travel Hacks,64000,2700,230,29000,Sunday,Lifestyle,190
48,Science Facts Explained,91000,4200,360,39000,Monday,Education,300
49,Top Productivity Apps,76000,3300,280,32000,Thursday,Technology,230
50,Motivational Success Story,58000,2500,220,27000,Saturday,Motivation,170

